Id,xx,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,Diesel,Petrol,HP,Met_Color,Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar
37,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15950,25,8,2002,25000,Petrol,0,0,97,0,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
38,TOYOTACorolla1.416VVVTI3DRTERRA2/3-Doors,14950,23,10,2002,10000,Petrol,0,0,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
39,TOYOTACorolla1.416VVVTI3DRTERRA2/3-Doors,15750,32,1,2002,25329,Petrol,0,0,97,1,Green,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
40, TOYOTACorolla1.416VVVTI3DR2/3-Doors,14750,27,6,2002,27500,Petrol,0,0,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
41, TOYOTACorolla1.416VVVTI3DR2/3-Doors,13950,22,11,2002,49059,Petrol,0,0,97,0,Blue,0,1400,3,4,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
42,TOYOTACorolla1.416VVVTI3DR2/3-Doors,16750,27,6,2002,44068,Petrol,0,0,97,1,Red,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
43,TOYOTACorolla1.416VVVTI3DR2/3-Doors,13950,22,11,2002,46961,Petrol,0,0,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
44,TOYOTACorolla2.0D4D905DRTERRACOMFORT4/5-Doors,16950,27,6,2002,110404,Diesel,1,0,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
45,TOYOTACorolla2.0D4D905DRTERRACOMFORT4/5-Doors,16950,22,11,2002,100250,Diesel,1,1,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
46, TOYOTACorolla2.0D4D905DRSOL4/5-Doors,19000,23,10,2002,84000,Diesel,1,1,90,0,Red,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
47,TOYOTACorolla2.0D4D905DRTERRA4/5-Doors,17950,27,6,2002,79375,Diesel,1,1,90,1,Grey,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
48,TOYOTACorolla1.416VVVTI5DRTERRACOMFORT4/5-Doors,15800,22,11,2002,75048,Petrol,0,1,97,1,Blue,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
49, TOYOTACorolla2.0D4D905DRTERRACOMFORT4/5-Doors,17950,22,11,2002,72215,Diesel,1,0,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
50,TOYOTACorolla1.816VVVTLI5DRTSPORT4/5-Doors,21950,31,2,2002,64982,Petrol,0,1,192,1,Grey,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
51,TOYOTACorolla2.0D4D905DRTERRACOMFORT4/5-Doors,17950,22,11,2002,62636,Diesel,1,0,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
52, TOYOTACorolla1.416VVVTI5DRTERRA4/5-Doors,15750,30,3,2002,57086,Petrol,0,1,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0
53,TOYOTACorolla1.616VVVTI5DRSOLAUT44/5-Doors,20500,26,7,2002,56000,Petrol,0,0,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
54,TOYOTACorolla1.8VVTL-iT-Sport4/5-Doors,21950,27,6,2002,49866,Petrol,0,0,192,1,Green,0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0
55, TOYOTACorolla1.616VVVTI5DRTERRAAUT44/5-Doors,15500,25,8,2002,49163,Petrol,0,0,110,0,Green,1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
56, TOYOTACorolla1.616VVVTILIFTBLUNA4/5-Doors,13250,32,1,2002,45725,Petrol,0,0,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
57,TOYOTACorolla1.416VVVTI5DRTERRA4/5-Doors,15250,28,5,2002,43210,Petrol,0,0,97,0,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
58,TOYOTACorolla1.416VVVTI5DRTERRACOMFORT4/5-Doors,15250,26,7,2002,43000,Petrol,0,0,97,0,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
59, TOYOTACorolla1.616VVVTI5DRSOLAUT44/5-Doors,18950,23,10,2002,39704,Petrol,0,0,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
60, TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,15999,30,3,2002,38950,Petrol,0,0,110,1,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
61,TOYOTACorolla1.416VVVTI5DRTERRACOMFORT4/5-Doors,14950,22,11,2002,37400,Petrol,0,0,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
62, TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,16500,27,6,2002,37177,Petrol,0,0,110,0,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
63,TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,18750,31,2,2002,36544,Petrol,0,0,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1
64,TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,17950,30,3,2002,33511,Petrol,0,0,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
65,TOYOTACorolla1.416VVVTI5DRTERRACOMFORT4/5-Doors,17950,27,6,2002,32809,Petrol,0,0,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
66,TOYOTACorolla1.6VVT-I5DRLINEASOL4/5-Doors,16950,26,7,2002,32181,Petrol,0,0,110,1,Blue,0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
67,TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,18950,28,5,2002,30993,Petrol,0,0,110,1,Black,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
68,TOYOTACorolla1.416VVVTI5DRTERRACOMFORT4/5-Doors,14950,22,11,2002,30400,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
69,TOYOTACorolla2.0D4D1105DRSOL4/5-Doors,22250,22,11,2002,30000,Diesel,1,0,110,1,Grey,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
70,TOYOTACorolla1.416VVVTI5DRTERRA4/5-Doors,15950,25,8,2002,29719,Petrol,0,1,97,1,Black,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0
71, TOYOTACorolla1.416VVVTI5DRTERRA4/5-Doors,15950,28,5,2002,29206,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
72,TOYOTACorolla1.416VVVTILIFTBTERRA4/5-Doors,12995,32,1,2002,29198,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0
73, TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,18950,28,5,2002,28817,Petrol,0,0,110,1,Grey,0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
74, TOYOTACorolla1.416VVVTI5DR4/5-Doors,15750,23,10,2002,28227,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
75, TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,19950,28,5,2002,28000,Petrol,0,0,110,0,Black,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0
76,TOYOTACorolla1.616VVVTI5DRTERRACOMFORT4/5-Doors,16950,23,10,2002,28000,Petrol,0,0,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
77,TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,18750,31,2,2002,25266,Petrol,0,0,110,1,Grey,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
78,TOYOTACorolla1.616VVVTI5DRTERRA4/5-Doors,18450,27,6,2002,23489,Petrol,0,0,110,0,Silver,0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
79,TOYOTACorolla1.616VVVTI5DRTERRA4/5-Doors,16895,29,4,2002,22575,Petrol,0,0,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
80,TOYOTACorolla1.416VVVTI5DRTERRA4/5-Doors,14900,30,3,2002,22000,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
81,TOYOTACorolla1.65drs14/5-Doors,18950,25,8,2002,20019,Petrol,0,0,110,1,Blue,1,1600,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
82,TOYOTACorolla1.616VVVTI5DRTERRA4/5-Doors,17250,29,4,2002,20000,Petrol,0,0,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
83, TOYOTACorolla1.416VVVTI5DR4/5-Doors,15450,25,8,2002,17003,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
84,TOYOTACorolla1.616VVVTI5DRSOLAUT44/5-Doors,17950,31,2,2002,16238,Petrol,0,0,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
85, TOYOTACorolla1.416VVVTI5DRTERRACOMFORT4/5-Doors,16650,25,8,2002,15414,Petrol,0,0,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
86,TOYOTACorolla1.616VVVTI5DRSOL4/5-Doors,17450,28,5,2002,8537,Petrol,0,0,110,1,Grey,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
87, TOYOTACorolla1.4VVTI(Nwtype)4/5-Doors,14900,30,3,2002,7000,Petrol,0,0,97,1,Silver,0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
88,TOYOTACorolla2.0D4D903DRTERRACOMFBNS2/3-Doors,17950,20,1,2003,66966,Diesel,1,0,90,1,Blue,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
89,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15950,19,2,2003,51884,Petrol,0,1,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
90,TOYOTACorolla2.0D4D1103DRSOL2/3-Doors,21950,19,2,2003,50005,Diesel,1,0,110,1,Grey,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
91,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,16450,20,1,2003,48110,Petrol,0,1,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
92, TOYOTACorolla2.0D4D903DRSOLBNS2/3-Doors,22250,20,1,2003,37500,Diesel,1,0,90,1,Black,0,2000,3,4,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
93,TOYOTACorolla2.0D4DLineaSol3Doors2/3-Doors,19950,16,5,2003,34472,Diesel,1,1,90,1,Grey,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
94,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15950,20,1,2003,33329,Petrol,0,1,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
95,TOYOTACorolla1.616vVVT-iLineaSol2/3-Doors,18900,20,1,2003,31850,Petrol,0,0,110,0,Black,0,1600,3,4,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
96,TOYOTACorolla2.0D4DLineaSol3Doors2/3-Doors,19950,17,4,2003,30351,Diesel,1,0,90,1,Blue,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
97, TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15950,19,2,2003,29435,Petrol,0,1,97,1,Black,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
98,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15950,19,2,2003,25948,Petrol,0,0,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
99,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,18750,11,10,2003,24500,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
100,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,17450,18,3,2003,23902,Petrol,0,0,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0
101, TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,18990,20,1,2003,23175,Petrol,0,0,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
102, TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,16250,19,2,2003,19200,Petrol,0,0,97,1,Blue,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0
103,TOYOTACorolla1.4VVT-iSol2/3-Doors,18500,13,8,2003,18000,Petrol,0,0,71,0,Grey,0,1400,3,4,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
104,TOYOTACorolla1.616VVVTI3DRTERRACOMFORT2/3-Doors,18500,11,10,2003,16123,Petrol,0,0,110,1,Grey,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
105,TOYOTACorolla1.616VVVTI3DRTERRACOMFAUT2/3-Doors,19450,11,10,2003,14635,Petrol,0,0,110,1,Blue,1,1600,3,4,5,100,1155,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
106, TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,16950,19,2,2003,13748,Petrol,0,0,97,1,Green,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
107, TOYOTACorolla1.6VVT-iLineaTerraComfort2/3-Doors,18800,14,7,2003,11500,Petrol,0,0,110,1,Blue,0,1600,3,4,5,69,1045,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
108,TOYOTACorolla1.416VVVTI3DR2/3-Doors,17450,17,4,2003,10000,Petrol,0,0,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
109, TOYOTACorolla1.616VVVTI3DRTERRACOMFORT2/3-Doors,17950,20,1,2003,7187,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
111, TOYOTACorollaVERSO2.0D4DSOL(7)BNSMPV,32500,4,5,2004,1,Diesel,1,0,116,0,Grey,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
112,TOYOTACorollaVERSO2.0D4DSOL(7)MPV,31000,4,5,2004,4000,Diesel,1,1,116,1,Grey,0,2000,5,4,5,283,1480,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
113,TOYOTACorollaVERSO2.0D4DSOL(7)MPV,31275,4,5,2004,1500,Diesel,1,1,116,1,Grey,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
