tpop   npop     area    sales
314	158	1105	4297
382	204	1239	5051
405	190	1362	4732
390	189	1285	4854
445	215	1598	5496
407	224	1575	5569
454	326	1752	8072
491	264	1762	7012
310	184	1036	4978
217	107	763	2926
135	61	484	1850
107	30	356	877
52	17	171	388
33	14	100	356
26	4	66	82
16	4	56	58
18	5	53	127
9	4	25	143
7	3	31	71
12	4	20	64
32	6	72	101
52	8	175	139
62	20	195	516
119	35	322	803
170	43	492	980
197	73	724	1870
220	104	721	2692
243	117	838	3176
320	121	968	3121
280	112	1035	2787
288	126	1075	3216
242	127	841	3505
242	83	851	2170
178	67	641	1820
121	41	416	1257
83	30	289	677
45	19	184	443
49	9	143	167
27	6	74	103
14	1	51	25
22	2	62	24
6	3	15	63
7	2	17	51
8	2	8	31
12	3	37	41
30	10	108	283
64	21	127	463
99	40	294	1147
185	65	603	1691
283	124	964	3224
298	156	1034	3991
381	207	1306	5390
393	207	1295	5780
432	187	1381	5042
369	164	1275	4350
344	162	1236	4252
311	141	993	3506
229	113	789	3102
166	55	528	1455
148	37	498	1096
83	21	304	517
49	10	137	259
23	8	69	234
16	4	40	84
30	2	75	68
9	3	22	47
5	0	9	0
10	3	23	93
21	2	87	31
39	6	118	151
51	15	155	487
72	37	228	1004
167	74	436	2146
225	145	669	4164
327	189	942	5275
315	228	1056	6256
375	268	1160	7887
391	237	1272	6524
342	234	1188	6668
387	175	1258	4549
286	163	941	4553
277	98	965	2990
170	59	597	1312
118	40	403	898
74	29	252	806
33	12	128	288
31	6	79	118
17	1	63	14
17	3	29	67
7	1	20	24
10	1	19	24
10	1	23	13
29	4	71	104
45	8	113	125
87	19	205	480
180	58	487	1483
266	83	802	2064
315	138	1017	3652
409	175	1246	4618
410	175	1229	4430
450	172	1423	4532
438	231	1453	6233
470	172	1465	4430
485	201	1802	4742
404	181	1387	4751
317	140	1024	3770
210	74	668	2137
126	35	392	1026
99	27	306	616
66	15	191	351
33	6	98	121
17	3	37	125
27	4	61	69
4	2	10	64
10	2	33	54
20	4	35	114
38	5	115	128
89	13	269	310
125	42	306	887
208	65	542	1697
256	116	790	2852
320	137	1003	3474
431	180	1422	4723
335	187	1128	5173
413	214	1322	5791
407	199	1298	5103
504	216	1590	5381
448	187	1483	4311
407	149	1283	3642
362	137	1278	3803
281	76	914	1917
145	53	474	1209
89	24	312	540
65	11	209	372
36	6	124	84
23	12	45	342
37	7	88	123
14	1	41	12
11	3	43	61
22	4	47	72
41	9	95	172
84	8	287	131
117	36	296	974
220	87	729	2621
303	111	864	2962
331	151	952	3922
410	197	1369	5222
398	206	1278	5485
451	237	1373	6219
394	191	1284	5091
507	190	1674	4763
463	207	1588	5706
393	168	1337	4633
322	119	1122	3377
257	101	882	2652
174	60	535	1551
99	28	285	623
79	11	255	264
54	9	145	229
37	12	147	461
30	8	80	160
11	2	24	43
13	3	29	51
32	1	71	27
49	15	131	371
120	23	359	571
163	59	429	1667
237	83	699	2278
274	108	761	2984
389	154	1152	4892
380	163	1207	4543
391	182	1171	5025
383	180	1265	5518
440	194	1391	5552
468	239	1560	6446
472	219	1503	6156
407	209	1392	5349
334	148	1199	4552
257	101	867	2805
157	54	537	1717
94	33	324	932
76	14	252	253
54	15	162	732
40	9	159	185
33	9	104	192
12	1	35	73
9	4	20	145
23	3	52	70
35	9	123	143
118	25	334	576
158	53	477	1631
229	78	637	2536
314	135	952	3765
364	167	1208	5061
410	169	1313	4531
355	172	1146	4818
460	202	1534	6224
402	172	1298	4997
476	226	1585	6169
463	230	1503	6755
440	192	1509	6054
354	160	1195	4881
245	127	807	4094
226	82	792	2821
142	53	573	1136
92	25	332	748
66	14	194	411
32	5	91	135
25	4	66	60
16	1	63	23
15	3	36	61
20	7	50	133
29	5	109	123
81	27	252	690
116	47	370	1508
207	97	606	3179
326	169	990	5322
444	239	1414	7197
506	253	1642	6961
524	302	1657	9495
560	295	1839	8914
504	301	1606	8586
513	311	1755	9369
449	314	1462	9644
384	221	1338	6441
341	201	1159	6093
232	133	726	4234
244	90	794	2798
143	54	437	1342
93	27	316	702
55	18	199	550
32	5	91	239
31	9	89	241
9	1	26	14
11	1	26	21
29	3	81	54
14	12	42	238
67	15	214	492
71	46	241	1341
155	98	520	2942
244	176	797	5013
337	231	1119	6750
425	306	1459	8141
489	296	1724	8674
538	332	1857	9638
565	360	2019	10732
503	274	1806	8037
394	232	1304	6722
335	189	1129	5610
242	125	754	3727
183	106	583	3482
151	74	517	2129
97	36	314	811
68	22	266	423
